영업일자,영업장명_메뉴명,매출수량,영업장명,메뉴명,요일,월,주말여부
2023-01-01,담하_처음처럼,0,담하,처음처럼,6,1,1
2023-01-01,라그로타_자몽리치에이드,1,라그로타,자몽리치에이드,6,1,1
2023-01-01,포레스트릿_복숭아 아이스티,113,포레스트릿,복숭아 아이스티,6,1,1
2023-01-01,포레스트릿_코카콜라,164,포레스트릿,코카콜라,6,1,1
2023-01-01,연회장_골뱅이무침,9,연회장,골뱅이무침,6,1,1
2023-01-01,라그로타_제로콜라,1,라그로타,제로콜라,6,1,1
2023-01-01,라그로타_Gls.미션 서드,4,라그로타,Gls.미션 서드,6,1,1
2023-01-01,카페테리아_새우튀김 우동,89,카페테리아,새우튀김 우동,6,1,1
2023-01-01,"느티나무 셀프BBQ_대여료 60,000원",2,느티나무 셀프BBQ,"대여료 60,000원",6,1,1
2023-01-01,담하_메밀면 사리,14,담하,메밀면 사리,6,1,1
2023-01-01,라그로타_버섯 크림 리조또,0,라그로타,버섯 크림 리조또,6,1,1
2023-01-01,라그로타_카스,1,라그로타,카스,6,1,1
2023-01-01,포레스트릿_페스츄리 소시지,154,포레스트릿,페스츄리 소시지,6,1,1
2023-01-01,카페테리아_샷 추가,5,카페테리아,샷 추가,6,1,1
2023-01-01,포레스트릿_떡볶이,290,포레스트릿,떡볶이,6,1,1
2023-01-01,라그로타_콜라,4,라그로타,콜라,6,1,1
2023-01-01,라그로타_Gls.Sileni,3,라그로타,Gls.Sileni,6,1,1
2023-01-01,느티나무 셀프BBQ_육개장 사발면,0,느티나무 셀프BBQ,육개장 사발면,6,1,1
2023-01-01,담하_카스,3,담하,카스,6,1,1
2023-01-01,연회장_OPUS 2,0,연회장,OPUS 2,6,1,1
2023-01-01,느티나무 셀프BBQ_스프라이트 (단체),0,느티나무 셀프BBQ,스프라이트 (단체),6,1,1
2023-01-01,느티나무 셀프BBQ_허브솔트,0,느티나무 셀프BBQ,허브솔트,6,1,1
2023-01-01,미라시아_오븐구이 윙과 킬바사소세지,1,미라시아,오븐구이 윙과 킬바사소세지,6,1,1
2023-01-01,포레스트릿_꼬치어묵,514,포레스트릿,꼬치어묵,6,1,1
2023-01-01,미라시아_코카콜라,0,미라시아,코카콜라,6,1,1
2023-01-01,카페테리아_수제 등심 돈까스,172,카페테리아,수제 등심 돈까스,6,1,1
2023-01-01,미라시아_버드와이저(무제한),0,미라시아,버드와이저(무제한),6,1,1
2023-01-01,라그로타_하이네켄(생),3,라그로타,하이네켄(생),6,1,1
2023-01-01,라그로타_Open Food,0,라그로타,Open Food,6,1,1
2023-01-01,연회장_Conference M8,0,연회장,Conference M8,6,1,1
2023-01-01,연회장_돈목살 김치찌개 (밥포함),3,연회장,돈목살 김치찌개 (밥포함),6,1,1
2023-01-01,카페테리아_카페라떼(ICE),19,카페테리아,카페라떼(ICE),6,1,1
2023-01-01,담하_참이슬,6,담하,참이슬,6,1,1
2023-01-01,포레스트릿_카페라떼(ICE),14,포레스트릿,카페라떼(ICE),6,1,1
2023-01-01,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),0,느티나무 셀프BBQ,잔디그늘집 대여료 (6인석),6,1,1
2023-01-01,담하_은이버섯 갈비탕,28,담하,은이버섯 갈비탕,6,1,1
2023-01-01,느티나무 셀프BBQ_1인 수저세트,0,느티나무 셀프BBQ,1인 수저세트,6,1,1
2023-01-01,포레스트릿_아메리카노(HOT),141,포레스트릿,아메리카노(HOT),6,1,1
2023-01-01,라그로타_스프라이트,4,라그로타,스프라이트,6,1,1
2023-01-01,연회장_주먹밥 (2ea),4,연회장,주먹밥 (2ea),6,1,1
2023-01-01,연회장_Regular Coffee,0,연회장,Regular Coffee,6,1,1
2023-01-01,연회장_야채추가,1,연회장,야채추가,6,1,1
